name,description,summary,modified_description
Lakme,Lumi Skin Cream 30 g,This is the generated summary.,Lumi Cream Skin g 30
Livon,Set Of 2 Anti-Frizz Hair Serum,This is the generated summary.,Anti-Frizz Hair Of Serum 2 Set
Garnier,Anti-Ageing Cream 40g,This is the generated summary.,Anti-Ageing Cream 40g
Philips,MG3710/65 Multi Groomer Set,This is the generated summary.,MG3710/65 Multi Set Groomer
Himalaya,Purifying Neem Face Wash 200ml,This is the generated summary.,Neem 200ml Face Wash Purifying
Biotique,Bio Cucumber Sustainable Toner120 ml,This is the generated summary.,Cucumber ml Bio Toner120 Sustainable
Envy,Men Natural Body Spray - 70ml,This is the generated summary.,Men - Body Spray 70ml Natural
Patanjali,Set of 3 Aloe Vera Gel,This is the generated summary.,of Vera 3 Gel Aloe Set
Lotus Herbals,Sustainable WhiteGlow Tightening Gel Creme,This is the generated summary.,WhiteGlow Creme Gel Sustainable Tightening
indulekha,Anti-Hairfall Shampoo 200 ml,This is the generated summary.,Shampoo Anti-Hairfall 200 ml
Lakme,Skin Brightening Night Creme,This is the generated summary.,Brightening Skin Creme Night
LOreal,6 Oil Nourish Shampoo,This is the generated summary.,Oil Shampoo Nourish 6
Himalaya,Neem Face Wash 150 ml,This is the generated summary.,Neem Face ml Wash 150
Biotique,Skin Moisturizer 190ml,This is the generated summary.,Moisturizer Skin 190ml
SWISS BEAUTY,Long Lash Mascara - Black,This is the generated summary.,#NAME?
Philips,SkinProtect Beard Trimmer,This is the generated summary.,Trimmer SkinProtect Beard
Philips,Women BRR454/00 Face Trimmer,This is the generated summary.,Trimmer BRR454/00 Women Face
Garnier,Hair Color-Golden Brown 7.3,This is the generated summary.,7.3 Brown Hair Color-Golden
Bella Vita Organic,Pack of 10 Luxury EDP Gift Set,This is the generated summary.,of 10 Pack Luxury Gift EDP Set
LOreal,Hyaluron Shampoo-180ml,This is the generated summary.,Hyaluron Shampoo-180ml
The Derma co.,10% Niacinamide Serum 10ml,This is the generated summary.,10ml 10% Serum Niacinamide
Denver,Men Hamilton Deodorant,This is the generated summary.,Hamilton Men Deodorant
Vaseline,Cocoa Glow Body Lotion,This is the generated summary.,Cocoa Glow Body Lotion
Whisper,Skinlove XL Soft Sanitary Pads,This is the generated summary.,Sanitary XL Soft Skinlove Pads
Lifelong,Cordless Beard Trimmer,This is the generated summary.,Trimmer Beard Cordless
NOVA,Men NG-1152 Cordless Trimmer,This is the generated summary.,Trimmer Men NG-1152 Cordless
Nivea,Body Lotion,This is the generated summary.,Body Lotion
Bella Vita Organic,Date Woman Eau De Parfum - 100 ml,This is the generated summary.,Date 100 Parfum ml Woman Eau De -
FACES CANADA,Weightless Stay Matte Compact - Natural 02,This is the generated summary.,02 Stay Compact Natural Matte Weightless -
Parachute,Aloe Vera Coconut Hair Oil,This is the generated summary.,Coconut Vera Oil Aloe Hair
NOVA,NHP 8105 Foldable Hair Dryer,This is the generated summary.,NHP Dryer 8105 Hair Foldable
Revlon,Color n Care Hair Colour- 1,This is the generated summary.,Colour- n Hair Care 1 Color
Park Avenue,Men Savanna Fresh Perfume,This is the generated summary.,Savanna Men Fresh Perfume
Garnier,Unisex Strengthening Shampoo,This is the generated summary.,Strengthening Shampoo Unisex
Nivea,Men Deep Impact Roll-On 50 ml,This is the generated summary.,Men Roll-On ml Deep 50 Impact
Biotique,Coconut Instant Glow Cream,This is the generated summary.,Coconut Glow Instant Cream
Maybelline,Fit Me Compact - 128,This is the generated summary.,Fit Me 128 Compact -
SWISS BEAUTY,Eyeshadow Palette -Shade 2,This is the generated summary.,Palette -Shade 2 Eyeshadow
SKINN,Women Celeste EDP 20 ml,This is the generated summary.,20 Women ml EDP Celeste
Olay,Cream with UV Protection,This is the generated summary.,UV Protection Cream with
Lakme,UV Sunscreen Lotion,This is the generated summary.,UV Lotion Sunscreen
SKINN,Men Discovery Fragrance Set,This is the generated summary.,Men Discovery Fragrance Set
Hair & Care,Set of 2 Non Sticky Hair Oil,This is the generated summary.,of Oil Sticky Non Hair 2 Set
Roadster,Men By The Sea Eau De Parfum,This is the generated summary.,Men The Parfum Eau De Sea By
WOW SKIN SCIENCE,Arabian Nights Eau De Parfum,This is the generated summary.,Nights Parfum Eau De Arabian
Dove,Hair Fall Rescue Conditioner,This is the generated summary.,Fall Rescue Hair Conditioner
Biotique,Bio Fruit Whitening Sustainable Lip Balm,This is the generated summary.,Whitening Fruit Lip Bio Balm Sustainable
Himalaya,Nourishing Body Lotion 400ml,This is the generated summary.,400ml Body Nourishing Lotion
Veet,Hair Removal Cream,This is the generated summary.,Removal Cream Hair
SKINN,Men Raw Eau de Parfum 20 ml,This is the generated summary.,Men 20 Parfum de ml Raw Eau
