name,description,summary,modified_description
Lakme,Lumi Skin Cream 30 g,This is the generated summary.,g Cream Skin 30 Lumi
Livon,Set Of 2 Anti-Frizz Hair Serum,This is the generated summary.,2 Of Set Hair Serum Anti-Frizz
Garnier,Anti-Ageing Cream 40g,This is the generated summary.,40g Cream Anti-Ageing
Philips,MG3710/65 Multi Groomer Set,This is the generated summary.,Set Groomer MG3710/65 Multi
Himalaya,Purifying Neem Face Wash 200ml,This is the generated summary.,Face 200ml Neem Purifying Wash
Biotique,Bio Cucumber Sustainable Toner120 ml,This is the generated summary.,Cucumber Sustainable Bio ml Toner120
Envy,Men Natural Body Spray - 70ml,This is the generated summary.,Body Spray Natural - Men 70ml
Patanjali,Set of 3 Aloe Vera Gel,This is the generated summary.,Gel Set 3 of Vera Aloe
Lotus Herbals,Sustainable WhiteGlow Tightening Gel Creme,This is the generated summary.,Gel Sustainable Creme Tightening WhiteGlow
indulekha,Anti-Hairfall Shampoo 200 ml,This is the generated summary.,ml Shampoo Anti-Hairfall 200
Lakme,Skin Brightening Night Creme,This is the generated summary.,Skin Creme Brightening Night
LOreal,6 Oil Nourish Shampoo,This is the generated summary.,Nourish Shampoo 6 Oil
Himalaya,Neem Face Wash 150 ml,This is the generated summary.,Face Neem 150 ml Wash
Biotique,Skin Moisturizer 190ml,This is the generated summary.,190ml Skin Moisturizer
SWISS BEAUTY,Long Lash Mascara - Black,This is the generated summary.,Lash - Long Black Mascara
Philips,SkinProtect Beard Trimmer,This is the generated summary.,Beard Trimmer SkinProtect
Philips,Women BRR454/00 Face Trimmer,This is the generated summary.,Women Face Trimmer BRR454/00
Garnier,Hair Color-Golden Brown 7.3,This is the generated summary.,Hair Color-Golden Brown 7.3
Bella Vita Organic,Pack of 10 Luxury EDP Gift Set,This is the generated summary.,Set 10 EDP of Pack Gift Luxury
LOreal,Hyaluron Shampoo-180ml,This is the generated summary.,Shampoo-180ml Hyaluron
The Derma co.,10% Niacinamide Serum 10ml,This is the generated summary.,10% Niacinamide Serum 10ml
Denver,Men Hamilton Deodorant,This is the generated summary.,Hamilton Deodorant Men
Vaseline,Cocoa Glow Body Lotion,This is the generated summary.,Cocoa Body Lotion Glow
Whisper,Skinlove XL Soft Sanitary Pads,This is the generated summary.,Skinlove Sanitary XL Soft Pads
Lifelong,Cordless Beard Trimmer,This is the generated summary.,Beard Trimmer Cordless
NOVA,Men NG-1152 Cordless Trimmer,This is the generated summary.,Trimmer NG-1152 Cordless Men
Nivea,Body Lotion,This is the generated summary.,Body Lotion
Bella Vita Organic,Date Woman Eau De Parfum - 100 ml,This is the generated summary.,Parfum - Eau Date Woman De 100 ml
FACES CANADA,Weightless Stay Matte Compact - Natural 02,This is the generated summary.,- Natural Compact Weightless 02 Stay Matte
Parachute,Aloe Vera Coconut Hair Oil,This is the generated summary.,Oil Hair Vera Coconut Aloe
NOVA,NHP 8105 Foldable Hair Dryer,This is the generated summary.,8105 Dryer NHP Foldable Hair
Revlon,Color n Care Hair Colour- 1,This is the generated summary.,n Care Hair 1 Colour- Color
Park Avenue,Men Savanna Fresh Perfume,This is the generated summary.,Perfume Savanna Fresh Men
Garnier,Unisex Strengthening Shampoo,This is the generated summary.,Shampoo Strengthening Unisex
Nivea,Men Deep Impact Roll-On 50 ml,This is the generated summary.,Roll-On Deep Impact 50 Men ml
Biotique,Coconut Instant Glow Cream,This is the generated summary.,Instant Glow Coconut Cream
Maybelline,Fit Me Compact - 128,This is the generated summary.,- Fit Compact 128 Me
SWISS BEAUTY,Eyeshadow Palette -Shade 2,This is the generated summary.,Eyeshadow -Shade Palette 2
SKINN,Women Celeste EDP 20 ml,This is the generated summary.,Women Celeste EDP 20 ml
Olay,Cream with UV Protection,This is the generated summary.,with Protection UV Cream
Lakme,UV Sunscreen Lotion,This is the generated summary.,Lotion UV Sunscreen
SKINN,Men Discovery Fragrance Set,This is the generated summary.,Set Fragrance Discovery Men
Hair & Care,Set of 2 Non Sticky Hair Oil,This is the generated summary.,2 Set Sticky Oil Non of Hair
Roadster,Men By The Sea Eau De Parfum,This is the generated summary.,Parfum Sea Eau De Men The By
WOW SKIN SCIENCE,Arabian Nights Eau De Parfum,This is the generated summary.,Parfum Nights Eau De Arabian
Dove,Hair Fall Rescue Conditioner,This is the generated summary.,Conditioner Hair Fall Rescue
Biotique,Bio Fruit Whitening Sustainable Lip Balm,This is the generated summary.,Balm Fruit Whitening Sustainable Bio Lip
Himalaya,Nourishing Body Lotion 400ml,This is the generated summary.,Body Nourishing Lotion 400ml
Veet,Hair Removal Cream,This is the generated summary.,Hair Removal Cream
SKINN,Men Raw Eau de Parfum 20 ml,This is the generated summary.,Parfum Raw 20 Eau Men ml de
